Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-15,2023,Thái Lan,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",SUV / Cross over,30000,Tự động,Đã sử dụng,Xăng,815000000
2025-10-15,2009,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",Unknown,100000,Tự động,Đã sử dụng,Xăng,198000000
2025-10-15,2023,Việt Nam,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",SUV / Cross over,25000,Tự động,Đã sử dụng,Xăng,735000000
2025-10-15,2009,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",Unknown,88000,Tự động,Đã sử dụng,Xăng,225000000
2025-10-15,2025,Thái Lan,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Hatchback,6000,Tự động,Đã sử dụng,Xăng,432000000
2025-10-15,2019,Việt Nam,"Phường Xuân La, Quận Tây Hồ, Hà Nội",Sedan,69800,Số sàn,Đã sử dụng,Xăng,268000000
2025-10-15,2017,Nước khác,"Phường Xuân La, Quận Tây Hồ, Hà Nội",SUV / Cross over,68000,Số sàn,Đã sử dụng,Dầu,619000000
2025-10-15,2019,Việt Nam,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Unknown,66000,Số sàn,Đã sử dụng,Xăng,269000000
2025-10-15,2022,Đức,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,29000,Tự động,Đã sử dụng,Xăng,1799000000
2025-10-15,2021,Việt Nam,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,30000,Tự động,Đã sử dụng,Xăng,1599000000
2025-10-15,2022,Nước khác,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,10000,Tự động,Đã sử dụng,Xăng,2199000000
2025-10-15,2019,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Sedan,60000,Tự động,Đã sử dụng,Xăng,1199000000
2025-10-14,2021,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,70000,Tự động,Đã sử dụng,Xăng,465000000
2025-10-14,2021,Nước khác,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Minivan (MPV),50000,Tự động,Đã sử dụng,Xăng,495000000
2025-10-14,2018,Việt Nam,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,50000,Tự động,Đã sử dụng,Xăng,999000000
2025-10-14,2021,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,37000,Tự động,Đã sử dụng,Xăng,745000000
2025-10-14,2016,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,90000,Tự động,Đã sử dụng,Xăng,555000000
2025-10-14,2021,Nước khác,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,20000,Tự động,Đã sử dụng,Xăng,1900000000
