Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-15,0.9544623496620608,Thái Lan,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",SUV / Cross over,-0.5838224341442189,Tự động,Đã sử dụng,Xăng,0.458889954744164
2025-10-15,-1.7393012831012553,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",Unknown,0.6609169094854696,Tự động,Đã sử dụng,Xăng,-0.8637726657123791
2025-10-15,0.9544623496620608,Việt Nam,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",SUV / Cross over,-0.6727323872606251,Tự động,Đã sử dụng,Xăng,0.28739399098966895
2025-10-15,-1.7393012831012553,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",Unknown,0.44753302200609435,Tự động,Đã sử dụng,Xăng,-0.805892777945237
2025-10-15,1.339285725771106,Thái Lan,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Hatchback,-1.010590209102969,Tự động,Đã sử dụng,Xăng,-0.36214697173048105
2025-10-15,0.18481559744397047,Việt Nam,"Phường Xuân La, Quận Tây Hồ, Hà Nội",Sedan,0.12390079266237539,Số sàn,Đã sử dụng,Xăng,-0.7137136974271959
2025-10-15,-0.2000077786650747,Nước khác,"Phường Xuân La, Quận Tây Hồ, Hà Nội",SUV / Cross over,0.09189320954046912,Số sàn,Đã sử dụng,Dầu,0.038724843545651144
2025-10-15,0.18481559744397047,Việt Nam,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Unknown,0.056329228293906596,Số sàn,Đã sử dụng,Xăng,-0.7115699978802646
2025-10-15,0.7620506616075382,Đức,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,-0.6016044247675001,Tự động,Đã sử dụng,Xăng,2.568290308924453
2025-10-15,0.5696389735530156,Việt Nam,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,-0.5838224341442189,Tự động,Đã sử dụng,Xăng,2.1395503995382157
2025-10-15,0.7620506616075382,Nước khác,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,-0.9394622466098441,Tự động,Đã sử dụng,Xăng,3.425770127696928
2025-10-15,0.18481559744397047,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Sedan,-0.05036271544578098,Tự động,Đã sử dụng,Xăng,1.2820705807657402
2025-10-14,0.5696389735530156,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,0.12745719078703163,Tự động,Đã sử dụng,Xăng,-0.2914048866817518
2025-10-14,0.5696389735530156,Nước khác,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Minivan (MPV),-0.2281826216785936,Tự động,Đã sử dụng,Xăng,-0.22709390027381618
2025-10-14,-0.007596090610552121,Việt Nam,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,-0.2281826216785936,Tự động,Đã sử dụng,Xăng,0.8533306713795026
2025-10-14,0.5696389735530156,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,-0.45934849978125,Tự động,Đã sử dụng,Xăng,0.3088309864589808
2025-10-14,-0.39241946671959727,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,0.48309700325265686,Tự động,Đã sử dụng,Xăng,-0.09847192745794489
2025-10-14,0.5696389735530156,Nước khác,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,-0.7616423403770315,Tự động,Đã sử dụng,Xăng,2.784803963164503
2025-10-14,0.18481559744397047,Việt Nam,"Xã Tiến Xuân, Huyện Thạch Thất, Hà Nội",Hatchback,1.1943766281839074,Tự động,Đã sử dụng,Xăng,-0.30212338441640774
2025-10-14,0.5696389735530156,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,-0.45934849978125,Tự động,Đã sử dụng,Xăng,-0.16278291386588054
2025-10-14,0.9544623496620608,Thái Lan,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,-0.5304764622743751,Tự động,Đã sử dụng,Xăng,0.07302403629655016
2025-10-14,-0.7772428428286424,Nước khác,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",SUV / Cross over,-0.05036271544578098,Tự động,Đã sử dụng,Xăng,3.535098804590419
2025-10-14,0.5696389735530156,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,-0.47713049040453126,Tự động,Đã sử dụng,Xăng,-0.05559793651932113
